,region,genes
78853,chr2-152374458-152374615,"Trib3 (-30505), Nrsn2 (+2101)"
78894,chr2-152692035-152692171,"Id1 (-44148), Mcts2 (+5068)"
78895,chr2-152693198-152693552,"Id1 (-42876), Mcts2 (+6340)"
78896,chr2-152696586-152697198,"Id1 (-39359), Mcts2 (+9857)"
78897,chr2-152707243-152708279,"Id1 (-28490), Mcts2 (+20726)"
78898,chr2-152723785-152724345,"Id1 (-12186), Mcts2 (+37030)"
78899,chr2-152726812-152726980,"Id1 (-9355), Mcts2 (+39861)"
78900,chr2-152728093-152728529,"Id1 (-7940), Mcts2 (+41276)"
78901,chr2-152729288-152730137,"Id1 (-6538), Mcts2 (+42678)"
78902,chr2-152734904-152735529,Id1 (-1034)
78903,chr2-152736029-152736569,Id1 (+48)
78904,chr2-152739150-152739684,"Cox4i2 (-15677), Id1 (+3166)"
78905,chr2-152741476-152742173,"Cox4i2 (-13269), Id1 (+5574)"
78906,chr2-152742557-152742703,"Cox4i2 (-12464), Id1 (+6379)"
79219,chr2-155737096-155737452,"Procr (-13843), Edem2 (-7799)"
79220,chr2-155737771-155737942,"Procr (-13260), Edem2 (-8382)"
79221,chr2-155742229-155743643,"Edem2 (-13461), Procr (-8181)"
79222,chr2-155750795-155751821,Procr (+191)
79223,chr2-155755868-155756041,"Mmp24 (-19387), Procr (+4838)"
79224,chr2-155756958-155757158,"Mmp24 (-18284), Procr (+5941)"
79225,chr2-155764759-155765329,"Mmp24 (-10298), Procr (+13927)"
79301,chr2-156616658-156616791,"Myl9 (-158695), Dlgap4 (+3020)"
79302,chr2-156631517-156631916,"Myl9 (-143703), Dlgap4 (+18012)"
79303,chr2-156636094-156636250,"Myl9 (-139248), Dlgap4 (+22467)"
79304,chr2-156652765-156653277,"Myl9 (-122399), Dlgap4 (+39316)"
79305,chr2-156664445-156664576,"Myl9 (-110909), Dlgap4 (+50806)"
79306,chr2-156666621-156666815,"Myl9 (-108702), Dlgap4 (+53013)"
79307,chr2-156679597-156680220,"Myl9 (-95511), Dlgap4 (+66204)"
79308,chr2-156680475-156680768,"Myl9 (-94798), Dlgap4 (+66917)"
79309,chr2-156681714-156682191,"Myl9 (-93467), Dlgap4 (+68248)"
79310,chr2-156683114-156683290,"Myl9 (-92218), Dlgap4 (+69497)"
79311,chr2-156684205-156684414,"Myl9 (-91110), Dlgap4 (+70605)"
79312,chr2-156686021-156686188,"Myl9 (-89315), Dlgap4 (+72400)"
79313,chr2-156688464-156688835,"Myl9 (-86770), Dlgap4 (+74945)"
79314,chr2-156690777-156691038,"Myl9 (-84512), Dlgap4 (+77203)"
79315,chr2-156695338-156695782,"Myl9 (-79860), Dlgap4 (+81855)"
79316,chr2-156700536-156700645,"Myl9 (-74829), Dlgap4 (+86886)"
79317,chr2-156705194-156705758,"Myl9 (-69944), Dlgap4 (+91771)"
79318,chr2-156717389-156717894,"Myl9 (-57778), Dlgap4 (+103937)"
79319,chr2-156718695-156719240,"Myl9 (-56452), Dlgap4 (+105263)"
79320,chr2-156720446-156721515,"Myl9 (-54439), Dlgap4 (+107276)"
79321,chr2-156721804-156722546,"Myl9 (-53245), Dlgap4 (+108470)"
79322,chr2-156729660-156730390,"Myl9 (-45395), Dlgap4 (+116320)"
79323,chr2-156736191-156736376,"Myl9 (-39136), Dlgap4 (+122579)"
79324,chr2-156736999-156737101,"Myl9 (-38370), Dlgap4 (+123345)"
79325,chr2-156742268-156742691,"Myl9 (-32940), Dlgap4 (+128775)"
79326,chr2-156747103-156747297,"Myl9 (-28220), Dlgap4 (+133495)"
79327,chr2-156748736-156749128,"Myl9 (-26488), Dlgap4 (+135227)"
79328,chr2-156760962-156761069,"Myl9 (-14404), Dlgap4 (+147311)"
79329,chr2-156764590-156764799,"Myl9 (-10725), Dlgap4 (+150990)"
79330,chr2-156766750-156766838,"Myl9 (-8626), Dlgap4 (+153089)"
79331,chr2-156769318-156769922,"Myl9 (-5800), Dlgap4 (+155915)"
79332,chr2-156774940-156775590,Myl9 (-155)
79333,chr2-156777451-156777605,"Tgif2 (-62479), Myl9 (+2108)"
79334,chr2-156780804-156781055,"Tgif2 (-59077), Myl9 (+5510)"
79335,chr2-156783510-156783704,"Tgif2 (-56400), Myl9 (+8187)"
79336,chr2-156787785-156787991,"Tgif2 (-52119), Myl9 (+12468)"
79337,chr2-156796400-156796735,"Tgif2 (-43439), Myl9 (+21148)"
79338,chr2-156799126-156799539,"Tgif2 (-40674), Myl9 (+23913)"
79339,chr2-156809464-156809938,"Tgif2 (-30306), Myl9 (+34281)"
79340,chr2-156811677-156811814,"Tgif2 (-28261), Myl9 (+36326)"
79341,chr2-156814309-156815414,"Tgif2 (-25145), Myl9 (+39442)"
79416,chr2-157426299-157426466,"Nnat (-133747), Src (+2090)"
79417,chr2-157429835-157430063,"Nnat (-130181), Src (+5656)"
79418,chr2-157447080-157447710,"Nnat (-112735), Src (+23102)"
79419,chr2-157457056-157457860,"Nnat (-102672), Src (+33165)"
79420,chr2-157458424-157458774,"Nnat (-101531), Src (+34306)"
79421,chr2-157463317-157463662,"Nnat (-96640), Src (+39197)"
79422,chr2-157464036-157465149,"Nnat (-95537), Src (+40300)"
79423,chr2-157466896-157467192,"Nnat (-93086), Src (+42751)"
79424,chr2-157473849-157474725,"Nnat (-85843), Src (+49994)"
79425,chr2-157479925-157480398,"Nnat (-79968), Src (+55869)"
79426,chr2-157502658-157502929,"Nnat (-57336), Src (+78501)"
79427,chr2-157505266-157505354,"Nnat (-54820), Src (+81017)"
79428,chr2-157506956-157507111,"Nnat (-53096), Src (+82741)"
79429,chr2-157510014-157510203,"Nnat (-50021), Src (+85816)"
79430,chr2-157513789-157514452,"Nnat (-46009), Src (+89828)"
79431,chr2-157536398-157537331,"Nnat (-23265), Src (+112572)"
79432,chr2-157558687-157558786,Nnat (-1393)
79433,chr2-157559512-157560536,Nnat (-106)
79434,chr2-157561172-157561536,"Nnat (+1224), Blcap (+5007)"
80002,chr2-164512430-164512818,"Wfdc2 (-49955), Pigt (+15104)"
80003,chr2-164513219-164513993,"Wfdc2 (-48973), Pigt (+16086)"
80005,chr2-164517946-164518226,"Wfdc2 (-44493), Pigt (+20566)"
80006,chr2-164520779-164521176,"Wfdc2 (-41601), Pigt (+23458)"
80007,chr2-164528555-164528906,"Wfdc2 (-33848), Pigt (+31211)"
80008,chr2-164531105-164531743,"Wfdc2 (-31155), Pigt (+33904)"
80009,chr2-164541192-164541526,"Wfdc2 (-21220), Pigt (+43839)"
80010,chr2-164549471-164549700,"Wfdc2 (-12993), Pigt (+52066)"
80011,chr2-164550476-164550713,"Wfdc2 (-11984), Pigt (+53075)"
80012,chr2-164559137-164559524,Wfdc2 (-3248)
80013,chr2-164563330-164564072,"Wfdc2 (+1122), Spint3 (+9758)"
80024,chr2-164753806-164754578,"Ube2c (-15706), Dnttip1 (+8209)"
80025,chr2-164754877-164755143,"Ube2c (-14888), Dnttip1 (+9027)"
80026,chr2-164759589-164759695,"Ube2c (-10256), Dnttip1 (+13659)"
80027,chr2-164760510-164760836,"Ube2c (-9225), Dnttip1 (+14690)"
80028,chr2-164769341-164770504,Ube2c (+25)
80038,chr2-164856630-164858207,Pltp (+123)
80039,chr2-164861699-164862714,Pltp (-4665)
80040,chr2-164866729-164867611,"Pcif1 (-12195), Pltp (-9628)"
80041,chr2-164868380-164868861,"Pltp (-11079), Pcif1 (-10744)"
80042,chr2-164873796-164874836,"Pltp (-16774), Pcif1 (-5049)"
80531,chr2-167671211-167671523,"Cebpb (-17548), Tmem189 (-9811)"
80532,chr2-167675245-167675757,"Tmem189 (-13945), Cebpb (-13414)"
80533,chr2-167679993-167680234,"Tmem189 (-18558), Cebpb (-8801)"
80534,chr2-167680656-167680915,"Tmem189 (-19230), Cebpb (-8129)"
80535,chr2-167685257-167685452,Cebpb (-3560)
80536,chr2-167688301-167689923,Cebpb (+197)
80537,chr2-167695567-167696006,"Ptpn1 (-236540), Cebpb (+6872)"
80538,chr2-167697918-167698364,"Ptpn1 (-234186), Cebpb (+9226)"
80539,chr2-167700392-167700791,"Ptpn1 (-231735), Cebpb (+11677)"
80540,chr2-167712261-167713857,"Ptpn1 (-219268), Cebpb (+24144)"
80541,chr2-167740150-167741081,"Ptpn1 (-191711), Cebpb (+51701)"
80542,chr2-167746868-167747444,"Ptpn1 (-185171), Cebpb (+58241)"
80543,chr2-167753913-167754316,"Ptpn1 (-178212), Cebpb (+65200)"
80544,chr2-167765061-167765577,"Ptpn1 (-167008), Cebpb (+76404)"
80545,chr2-167774994-167775621,"Ptpn1 (-157019), Cebpb (+86393)"
80546,chr2-167777243-167778258,"Ptpn1 (-154576), Cebpb (+88836)"
80547,chr2-167781670-167781959,"Ptpn1 (-150512), Cebpb (+92900)"
80548,chr2-167788122-167788300,"Ptpn1 (-144116), Cebpb (+99296)"
80549,chr2-167789396-167789608,"Ptpn1 (-142825), Cebpb (+100587)"
80550,chr2-167800139-167800313,"Ptpn1 (-132101), Cebpb (+111311)"
80551,chr2-167800675-167801090,"Ptpn1 (-131444), Cebpb (+111968)"
80552,chr2-167823588-167823805,"Ptpn1 (-108630), Cebpb (+134782)"
80553,chr2-167828265-167828638,"Ptpn1 (-103875), Cebpb (+139537)"
80554,chr2-167833505-167833942,"Ptpn1 (-98603), Cebpb (+144809)"
80555,chr2-167839333-167839446,"Ptpn1 (-92937), Cebpb (+150475)"
80556,chr2-167840289-167840664,"Ptpn1 (-91850), Cebpb (+151562)"
80557,chr2-167841538-167841641,"Ptpn1 (-90737), Cebpb (+152675)"
80558,chr2-167842022-167842147,"Ptpn1 (-90242), Cebpb (+153170)"
80559,chr2-167844561-167844797,"Ptpn1 (-87648), Cebpb (+155764)"
80560,chr2-167850187-167850379,"Ptpn1 (-82044), Cebpb (+161368)"
80561,chr2-167851243-167852367,"Ptpn1 (-80522), Cebpb (+162890)"
80562,chr2-167858073-167858710,"Ptpn1 (-73935), Cebpb (+169477)"
80563,chr2-167859468-167859843,"Ptpn1 (-72671), Cebpb (+170741)"
80564,chr2-167860695-167860783,"Ptpn1 (-71588), Cebpb (+171824)"
80565,chr2-167864145-167864838,"Ptpn1 (-67835), Cebpb (+175577)"
80566,chr2-167866671-167867405,"Ptpn1 (-65289), Cebpb (+178123)"
80567,chr2-167876835-167877869,"Ptpn1 (-54975), Cebpb (+188437)"
80568,chr2-167878379-167878876,"Ptpn1 (-53699), Cebpb (+189713)"
80569,chr2-167887859-167888365,"Ptpn1 (-44215), Cebpb (+199197)"
80570,chr2-167891906-167892247,"Ptpn1 (-40250), Cebpb (+203162)"
80571,chr2-167894931-167895586,"Ptpn1 (-37068), Cebpb (+206344)"
80572,chr2-167902268-167902672,"Ptpn1 (-29857), Cebpb (+213555)"
80573,chr2-167902923-167903087,"Ptpn1 (-29322), Cebpb (+214090)"
80574,chr2-167919774-167920540,"Ptpn1 (-12170), Cebpb (+231242)"
80575,chr2-167924872-167925900,"Ptpn1 (-6941), Cebpb (+236471)"
80712,chr2-168761143-168761291,"Atp9a (-19417), Sall4 (+5984)"
80713,chr2-168762134-168762689,"Atp9a (-20612), Sall4 (+4789)"
80714,chr2-168765046-168766340,"Atp9a (-23893), Sall4 (+1508)"
80715,chr2-168766737-168767423,Sall4 (+121)
80716,chr2-168779886-168780332,"Sall4 (-12908), Zfp64 (+175163)"
80717,chr2-168780611-168780887,"Sall4 (-13548), Zfp64 (+174523)"
80718,chr2-168791016-168791463,"Sall4 (-24039), Zfp64 (+164032)"
80719,chr2-168806648-168806901,"Sall4 (-39574), Zfp64 (+148497)"
80720,chr2-168807297-168807969,"Sall4 (-40432), Zfp64 (+147639)"
80721,chr2-168810025-168810283,"Sall4 (-42953), Zfp64 (+145118)"
80722,chr2-168831134-168831279,"Sall4 (-64006), Zfp64 (+124065)"
80723,chr2-168831585-168832028,"Sall4 (-64606), Zfp64 (+123465)"
80724,chr2-168838788-168839009,"Sall4 (-71698), Zfp64 (+116373)"
80725,chr2-168839893-168840268,"Sall4 (-72880), Zfp64 (+115191)"
80726,chr2-168841328-168842711,"Sall4 (-74819), Zfp64 (+113252)"
80727,chr2-168849343-168849585,"Sall4 (-82263), Zfp64 (+105808)"
80728,chr2-168859860-168860545,"Sall4 (-93002), Zfp64 (+95069)"
80729,chr2-168860986-168861336,"Sall4 (-93960), Zfp64 (+94111)"
80730,chr2-168870494-168870764,"Sall4 (-103428), Zfp64 (+84643)"
80731,chr2-168872091-168872712,"Sall4 (-105201), Zfp64 (+82870)"
80732,chr2-168873215-168873384,"Sall4 (-106099), Zfp64 (+81972)"
80733,chr2-168881994-168882178,"Sall4 (-114885), Zfp64 (+73186)"
80734,chr2-168884798-168884985,"Sall4 (-117691), Zfp64 (+70380)"
80735,chr2-168902774-168902887,"Sall4 (-135630), Zfp64 (+52441)"
80736,chr2-168904119-168904574,"Sall4 (-137146), Zfp64 (+50925)"
80737,chr2-168904937-168905259,"Sall4 (-137897), Zfp64 (+50174)"
80738,chr2-168905995-168906418,"Sall4 (-139006), Zfp64 (+49065)"
80739,chr2-168911927-168913755,"Sall4 (-145640), Zfp64 (+42431)"
80740,chr2-168923651-168924131,"Sall4 (-156690), Zfp64 (+31381)"
80741,chr2-168929674-168930232,"Sall4 (-162752), Zfp64 (+25319)"
82632,chr2-29060051-29061046,Ttf1 (+287)
82633,chr2-29065255-29065418,"Setx (-59655), Ttf1 (+5075)"
82634,chr2-29066438-29066672,"Setx (-58437), Ttf1 (+6293)"
82635,chr2-29097595-29097847,"Setx (-27271), Ttf1 (+37459)"
82636,chr2-29098911-29099097,"Setx (-25988), Ttf1 (+38742)"
82637,chr2-29100783-29101137,"Setx (-24032), Ttf1 (+40698)"
82638,chr2-29102912-29103233,"Setx (-21919), Ttf1 (+42811)"
82639,chr2-29119601-29119752,"Setx (-5315), Ttf1 (+59415)"
82960,chr2-31318320-31318437,"Ass1 (-151828), Hmcn2 (+3964)"
82961,chr2-31339871-31340432,"Ass1 (-130055), Hmcn2 (+25737)"
82962,chr2-31346204-31346540,"Ass1 (-123835), Hmcn2 (+31957)"
82964,chr2-31374362-31374641,"Ass1 (-95705), Hmcn2 (+60087)"
82965,chr2-31381078-31381629,"Ass1 (-88853), Hmcn2 (+66939)"
82966,chr2-31383117-31383240,"Ass1 (-87028), Hmcn2 (+68764)"
82968,chr2-31416930-31417273,"Ass1 (-53105), Hmcn2 (+102687)"
82969,chr2-31418685-31418867,"Ass1 (-51431), Hmcn2 (+104361)"
82970,chr2-31420979-31421159,"Ass1 (-49138), Hmcn2 (+106654)"
82971,chr2-31434782-31435084,"Ass1 (-35274), Hmcn2 (+120518)"
82972,chr2-31435532-31435974,"Ass1 (-34454), Hmcn2 (+121338)"
82973,chr2-31442448-31442763,"Ass1 (-27601), Hmcn2 (+128191)"
82974,chr2-31453700-31453790,"Ass1 (-16462), Hmcn2 (+139330)"
82975,chr2-31459688-31460770,"Ass1 (-9978), Hmcn2 (+145814)"
82976,chr2-31469905-31471169,Ass1 (+330)
82977,chr2-31472770-31472909,"Fubp3 (-99977), Ass1 (+2633)"
82978,chr2-31483000-31483367,"Fubp3 (-89633), Ass1 (+12977)"
82979,chr2-31484161-31484492,"Fubp3 (-88490), Ass1 (+14120)"
82980,chr2-31501742-31502156,"Fubp3 (-70868), Ass1 (+31742)"
82981,chr2-31513582-31514269,"Fubp3 (-58891), Ass1 (+43719)"
82982,chr2-31524784-31524997,"Fubp3 (-47926), Ass1 (+54684)"
82983,chr2-31525835-31526052,"Fubp3 (-46873), Ass1 (+55737)"
82984,chr2-31532985-31533509,"Fubp3 (-39570), Ass1 (+63040)"
82985,chr2-31539608-31539894,"Fubp3 (-33066), Ass1 (+69544)"
82986,chr2-31550599-31550755,"Fubp3 (-22140), Ass1 (+80470)"
83446,chr2-34762976-34763495,"Hspa5 (-8734), Gapvd1 (-8004)"
83447,chr2-34771275-34772712,Hspa5 (+24)
83448,chr2-34778620-34778713,"Hspa5 (+6697), Rabepk (+21245)"
83449,chr2-34784201-34784395,"Hspa5 (+12328), Rabepk (+15614)"
83450,chr2-34794661-34794762,"Rabepk (+5200), Hspa5 (+22742)"
83493,chr2-35214701-35215182,"Gsn (-67438), Rab14 (-13822)"
83494,chr2-35219290-35219467,"Gsn (-63001), Rab14 (-18259)"
83495,chr2-35231923-35232488,"Gsn (-50174), Rab14 (-31086)"
83496,chr2-35238806-35238973,"Gsn (-43490), Rab14 (-37770)"
83497,chr2-35250285-35250416,"Rab14 (-49231), Gsn (-32029)"
83498,chr2-35256015-35256756,"Rab14 (-55266), Gsn (-25994)"
83499,chr2-35265347-35265689,"Rab14 (-64398), Gsn (-16862)"
83500,chr2-35270626-35270952,"Rab14 (-69669), Gsn (-11591)"
83501,chr2-35271778-35272115,"Rab14 (-70827), Gsn (-10433)"
83502,chr2-35282296-35282754,Gsn (+145)
83503,chr2-35288960-35289567,"Gsn (+6884), Stom (+47712)"
83504,chr2-35291973-35292103,"Gsn (+9658), Stom (+44938)"
83505,chr2-35297896-35298313,"Gsn (+15725), Stom (+38871)"
83506,chr2-35299822-35300378,"Gsn (+17720), Stom (+36876)"
83507,chr2-35313786-35314537,"Stom (+22814), Gsn (+31782)"
83508,chr2-35322908-35323153,"Stom (+13945), Gsn (+40651)"
83509,chr2-35326816-35327819,"Stom (+9658), Gsn (+44938)"
85045,chr2-6353876-6354131,"Usp6nl (+1271), Celf2 (+530992)"
85047,chr2-6360179-6360283,"Usp6nl (+7498), Celf2 (+524765)"
85048,chr2-6362023-6362188,"Usp6nl (+9373), Celf2 (+522890)"
85049,chr2-6363107-6363458,"Usp6nl (+10550), Celf2 (+521713)"
85050,chr2-6366574-6366796,"Usp6nl (+13952), Celf2 (+518311)"
85054,chr2-6378722-6379197,"Usp6nl (+26227), Celf2 (+506036)"
85058,chr2-6383448-6383599,"Usp6nl (+30791), Celf2 (+501472)"
85059,chr2-6384524-6384666,"Usp6nl (+31862), Celf2 (+500401)"
85065,chr2-6403454-6403699,"Usp6nl (+50844), Celf2 (+481419)"
85067,chr2-6405212-6405592,"Usp6nl (+52669), Celf2 (+479594)"
85077,chr2-6419983-6420072,"Usp6nl (+67295), Celf2 (+464968)"
85078,chr2-6424911-6425309,"Usp6nl (+72377), Celf2 (+459886)"
85079,chr2-6431600-6432163,"Usp6nl (+79149), Celf2 (+453114)"
85080,chr2-6432371-6432641,"Usp6nl (+79773), Celf2 (+452490)"
85081,chr2-6436179-6436476,"Usp6nl (+83595), Celf2 (+448668)"
85085,chr2-6454745-6455352,"Usp6nl (+102316), Celf2 (+429947)"
85087,chr2-6463792-6464657,"Usp6nl (+111492), Celf2 (+420771)"
85088,chr2-6469281-6469700,"Usp6nl (+116758), Celf2 (+415505)"
85089,chr2-6470944-6471709,"Usp6nl (+118594), Celf2 (+413669)"
85090,chr2-6477979-6479389,"Usp6nl (+125951), Celf2 (+406312)"
85091,chr2-6479680-6479898,"Usp6nl (+127056), Celf2 (+405207)"
85092,chr2-6483283-6483820,"Usp6nl (+130819), Celf2 (+401444)"
85098,chr2-6491019-6491342,"Usp6nl (+138448), Celf2 (+393815)"
85104,chr2-6497803-6497991,"Usp6nl (+145164), Celf2 (+387099)"
85121,chr2-6526370-6526478,"Usp6nl (+173691), Celf2 (+358572)"
85126,chr2-6532108-6532286,"Usp6nl (+179464), Celf2 (+352799)"
85127,chr2-6532538-6532732,"Usp6nl (+179902), Celf2 (+352361)"
85140,chr2-6542740-6543015,"Usp6nl (+190145), Celf2 (+342118)"
85145,chr2-6547139-6547474,"Usp6nl (+194574), Celf2 (+337689)"
85148,chr2-6549328-6549500,"Usp6nl (+196681), Celf2 (+335582)"
85158,chr2-6573573-6573946,"Usp6nl (+221027), Celf2 (+311236)"
85162,chr2-6582636-6583241,"Usp6nl (+230206), Celf2 (+302057)"
85170,chr2-6594838-6595082,"Usp6nl (+242227), Celf2 (+290036)"
85175,chr2-6613702-6614334,"Usp6nl (+261285), Celf2 (+270978)"
85185,chr2-6623594-6623743,"Celf2 (+261327), Usp6nl (+270936)"
85194,chr2-6648613-6648784,"Celf2 (+236297), Usp6nl (+295966)"
85205,chr2-6695360-6695648,"Celf2 (+189492), Usp6nl (+342771)"
85208,chr2-6707357-6707697,"Celf2 (+177469), Usp6nl (+354794)"
85209,chr2-6710752-6711483,"Celf2 (+173878), Usp6nl (+358385)"
85210,chr2-6721146-6722286,"Celf2 (+163280), Usp6nl (+368983)"
85211,chr2-6729956-6730257,"Celf2 (+154889), Usp6nl (+377374)"
85225,chr2-6786616-6787063,"Celf2 (+98156), Usp6nl (+434107)"
85233,chr2-6821683-6821905,"Celf2 (+63202), Usp6nl (+469061)"
85270,chr2-6849339-6849645,"Celf2 (+35504), Usp6nl (+496759)"
85274,chr2-6862908-6863495,"Celf2 (+21794), Usp6nl (+510469)"
85275,chr2-6871804-6873068,"Celf2 (+12560), Usp6nl (+519703)"
85288,chr2-6883820-6884310,Celf2 (+931)
85301,chr2-6898639-6899076,Celf2 (-13862)
85302,chr2-6900764-6901071,Celf2 (-15922)
85323,chr2-6921890-6922058,Celf2 (-36978)
85324,chr2-6923747-6924398,Celf2 (-39077)
85338,chr2-6942539-6942921,Celf2 (-57734)
85359,chr2-6966453-6966871,Celf2 (-81666)
85387,chr2-7002049-7002275,Celf2 (-117166)
85402,chr2-7021993-7022596,Celf2 (-137299)
85449,chr2-7063441-7064183,Celf2 (-178816)
85467,chr2-7080835-7081673,Celf2 (-196258)
85473,chr2-7086390-7086535,Celf2 (-201467)
85476,chr2-7088889-7089315,Celf2 (-204106)
85478,chr2-7090611-7090898,Celf2 (-205759)
85492,chr2-7101343-7101631,Celf2 (-216491)
85499,chr2-71055200-71056384,"Mettl8 (-209), Dcaf17 (+48)"
85500,chr2-71091136-71091360,"Cybrd1 (-26675), Dcaf17 (+35504)"
85501,chr2-71105246-71105988,"Cybrd1 (-12306), Dcaf17 (+49873)"
85508,chr2-7115918-7116135,Celf2 (-231031)
85519,chr2-7127449-7127593,Celf2 (-242525)
85676,chr2-7224450-7224591,Celf2 (-339525)
85721,chr2-7269850-7270470,Celf2 (-385164)
85728,chr2-7277800-7278004,Celf2 (-392906)
85758,chr2-7309984-7310352,Celf2 (-425172)
85796,chr2-7350681-7350829,Celf2 (-465759)
85842,chr2-7390205-7390412,Celf2 (-505313)
85886,chr2-74692758-74692884,"Hoxd9 (-4906), Hoxd10 (+897), Hoxd13 (+24511)"
85887,chr2-74697572-74699212,"Hoxd9 (+665), Hoxd13 (+30082)"
85921,chr2-7492245-7492527,Celf2 (-607390)
85978,chr2-7534694-7534852,Celf2 (-649777)
86220,chr2-7859221-7859461,Celf2 (-974345)
86223,chr2-7861142-7861644,Celf2 (-976397)
86682,chr2-91078333-91079095,"Spi1 (-17382), Slc39a13 (-8431)"
86683,chr2-91082725-91083641,"Spi1 (-12913), Slc39a13 (-12900)"
86684,chr2-91096505-91097216,Spi1 (+765)
86685,chr2-91098188-91098369,"Mybpc3 (-19865), Spi1 (+2183)"
86686,chr2-91101457-91101837,"Mybpc3 (-16497), Spi1 (+5551)"
86760,chr2-91930003-91930269,"Mdk (+2161), Chrm4 (+2887)"
86761,chr2-91930764-91932912,Mdk (+459)
86762,chr2-91934170-91934286,Mdk (-1931)
86896,chr2-93052001-93052148,"Trp53i11 (-135473), Prdm11 (-6504)"
86897,chr2-93063446-93063897,"Trp53i11 (-123876), Prdm11 (-18101)"
86898,chr2-93068589-93069484,"Trp53i11 (-118511), Prdm11 (-23466)"
86899,chr2-93071739-93071940,"Trp53i11 (-115708), Prdm11 (-26269)"
86900,chr2-93076166-93076526,"Trp53i11 (-111202), Prdm11 (-30775)"
86901,chr2-93081051-93081953,"Trp53i11 (-106046), Prdm11 (-35931)"
86902,chr2-93082230-93082637,"Trp53i11 (-105114), Prdm11 (-36863)"
86903,chr2-93091096-93091351,"Trp53i11 (-96324), Prdm11 (-45653)"
86904,chr2-93097544-93098383,"Trp53i11 (-89584), Prdm11 (-52393)"
86905,chr2-93099922-93100045,"Trp53i11 (-87564), Prdm11 (-54413)"
86906,chr2-93112017-93112843,"Trp53i11 (-75118), Prdm11 (-66859)"
86907,chr2-93114589-93114817,"Trp53i11 (-72845), Prdm11 (-69132)"
86908,chr2-93119188-93119452,"Prdm11 (-73749), Trp53i11 (-68228)"
86909,chr2-93121803-93122103,"Prdm11 (-76382), Trp53i11 (-65595)"
86910,chr2-93123229-93123572,"Prdm11 (-77830), Trp53i11 (-64147)"
86911,chr2-93126442-93127085,"Prdm11 (-81193), Trp53i11 (-60784)"
86912,chr2-93131845-93132558,"Prdm11 (-86631), Trp53i11 (-55346)"
86913,chr2-93133780-93133876,"Prdm11 (-88257), Trp53i11 (-53720)"
86914,chr2-93135217-93135767,"Prdm11 (-89921), Trp53i11 (-52056)"
86915,chr2-93142248-93142962,"Prdm11 (-97034), Trp53i11 (-44943)"
86916,chr2-93150043-93150200,"Prdm11 (-104551), Trp53i11 (-37426)"
86917,chr2-93152214-93152579,"Prdm11 (-106826), Trp53i11 (-35151)"
86918,chr2-93154600-93154858,"Prdm11 (-109158), Trp53i11 (-32819)"
86919,chr2-93162363-93162540,"Prdm11 (-116881), Trp53i11 (-25096)"
86920,chr2-93162803-93163234,"Prdm11 (-117448), Trp53i11 (-24529)"
86921,chr2-93166396-93166963,"Prdm11 (-121109), Trp53i11 (-20868)"
86922,chr2-93172585-93172722,"Prdm11 (-127083), Trp53i11 (-14894)"
86923,chr2-93174061-93174571,"Prdm11 (-128745), Trp53i11 (-13232)"
86924,chr2-93176704-93177365,"Prdm11 (-131464), Trp53i11 (-10513)"
86925,chr2-93180235-93180601,"Prdm11 (-134847), Trp53i11 (-7130)"
86926,chr2-93187258-93187862,Trp53i11 (+12)
86927,chr2-93188119-93189364,"Trp53i11 (+1194), Tspan18 (+145745)"
86928,chr2-93190750-93190980,"Trp53i11 (+3317), Tspan18 (+143622)"
86929,chr2-93192745-93193006,"Trp53i11 (+5328), Tspan18 (+141611)"
86930,chr2-93198807-93200106,"Trp53i11 (+11909), Tspan18 (+135030)"
86931,chr2-93203762-93204063,"Trp53i11 (+16365), Tspan18 (+130574)"
86932,chr2-93214149-93214911,"Trp53i11 (+26982), Tspan18 (+119957)"
86933,chr2-93217092-93217607,"Trp53i11 (+29802), Tspan18 (+117137)"
86934,chr2-93226712-93227431,"Trp53i11 (+39524), Tspan18 (+107415)"
86935,chr2-93227737-93227874,"Trp53i11 (+40258), Tspan18 (+106681)"
86936,chr2-93228124-93228235,"Trp53i11 (+40632), Tspan18 (+106307)"
86937,chr2-93228446-93228572,"Trp53i11 (+40961), Tspan18 (+105978)"
86938,chr2-93228874-93229011,"Trp53i11 (+41395), Tspan18 (+105544)"
86939,chr2-93240361-93240879,"Trp53i11 (+53072), Tspan18 (+93867)"
86940,chr2-93249137-93249288,"Trp53i11 (+61665), Tspan18 (+85274)"
86941,chr2-93255887-93255991,"Trp53i11 (+68391), Tspan18 (+78548)"
86942,chr2-93261376-93262685,"Tspan18 (+72456), Trp53i11 (+74483)"
86943,chr2-93267628-93269238,"Tspan18 (+66054), Trp53i11 (+80885)"
86944,chr2-93270204-93270428,"Tspan18 (+64171), Trp53i11 (+82768)"
86945,chr2-93274312-93274401,"Tspan18 (+60130), Trp53i11 (+86809)"
86946,chr2-93277493-93278970,"Tspan18 (+56255), Trp53i11 (+90684)"
86947,chr2-93284008-93284282,"Tspan18 (+50342), Trp53i11 (+96597)"
86948,chr2-93285436-93285601,"Tspan18 (+48968), Trp53i11 (+97971)"
86949,chr2-93289012-93289704,"Tspan18 (+45129), Trp53i11 (+101810)"
86950,chr2-93290656-93291056,"Tspan18 (+43631), Trp53i11 (+103308)"
